fecha,codigo_factura,mnt_total_a_pagar,cant_items,familia,categoria,subcategoria,codigo_producto,cantidad_vendida,venta_bruta_producto,venta_neta_producto
2022-08-01,1207735742,22870.0,9,Alimentos Dulces,Pasabocas,Familiar,12003505.0,1.0,2990.0,2513.0
2022-08-01,1207735742,22870.0,9,Alimentos Dulces,Galletería,Crackers,12003003.0,1.0,5450.0,4580.0
2022-08-01,1207735742,22870.0,9,Alimentos Dulces,Lácteos,Cremas,12001250.0,3.0,5670.0,5670.0
2022-08-01,1207735742,22870.0,9,Perecederos,Fruver,Frutas,12002011.0,1.0,1590.0,1590.0
2022-08-01,1207735742,22870.0,9,Refrigerados,Lácteos,Yogures Personal,12000145.0,1.0,1290.0,1084.0
2022-08-01,1207735742,22870.0,9,Alimentos Dulces,Lácteos,Dulces,12000929.0,1.0,3990.0,3990.0
2022-08-01,1207735742,22870.0,9,Bebidas,Bebidas Secas,Gelatina,12000251.0,1.0,1890.0,1588.0
2022-08-01,1197867654,14810.0,6,Aseo,Aseo Hogar,Lavaplatos,12000131.0,1.0,2690.0,2261.0
2022-08-01,1197867654,14810.0,6,Aseo,Aseo Hogar,Detergentes,12000178.0,1.0,4390.0,3689.0
2022-08-01,1197867654,14810.0,6,Aseo,Aseo Hogar,Blanqueador,12000089.0,1.0,2950.0,2479.0
2022-08-01,1197867654,14810.0,6,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,140.0,73.0
2022-08-01,1197867654,14810.0,6,Aseo,Aseo Hogar,Cuidado De Prendas,12000588.0,1.0,3390.0,2849.0
2022-08-01,1197867654,14810.0,6,Alimentos Dulces,Dulce,Otros,12002212.0,1.0,1250.0,1050.0
2022-08-01,1192340215,20130.0,4,Alimentos Dulces,"Cereales, Harinas Y Premezclas",Cereal Infantiles,12000393.0,1.0,5350.0,4496.0
2022-08-01,1192340215,20130.0,4,Alimentos Dulces,"Cereales, Harinas Y Premezclas",Cereal Infantiles,12000392.0,1.0,4690.0,3941.0
2022-08-01,1192340215,20130.0,4,Alimentos Sal,Pasabocas,Individuales,12000635.0,1.0,5790.0,5514.0
2022-08-01,1192340215,20130.0,4,Alimentos Dulces,"Cereales, Harinas Y Premezclas",Cereal Infantiles,12000394.0,1.0,4300.0,3613.0
2022-08-01,1230159655,24800.0,6,Alimentos Dulces,Galletería,Galletas Dulces,12000744.0,1.0,5490.0,4613.0
2022-08-01,1230159655,24800.0,6,Congelados,Carne No Procesada,Pollo,12001289.0,1.0,7990.0,7990.0
2022-08-01,1230159655,24800.0,6,Alimentos Sal,Pasabocas,Familiar,12001066.0,1.0,3590.0,3017.0
2022-08-01,1230159655,24800.0,6,Alimentos Dulces,Dulce,Típicos,12000516.0,1.0,1950.0,1950.0
2022-08-01,1230159655,24800.0,6,Alimentos Sal,Pasabocas,Familiar,12003545.0,2.0,5780.0,4857.0
2022-08-01,1214302291,7340.0,2,Aseo,Aseo Hogar,Detergentes,12000178.0,1.0,4390.0,3689.0
2022-08-01,1214302291,7340.0,2,Aseo,Aseo Hogar,Blanqueador,12000089.0,1.0,2950.0,2479.0
2022-08-01,1188663172,6940.0,2,Alimentos Dulces,Galletería,Infantil,12003804.0,1.0,5990.0,5034.0
2022-08-01,1188663172,6940.0,2,Alimentos Dulces,Dulce,Otros,12002455.0,1.0,950.0,798.0
2022-08-01,1186075294,5980.0,2,Bebidas,Lácteos,Leches Larga Vida,12000543.0,2.0,5980.0,5980.0
2022-08-01,1194802210,3640.0,6,Farmacia,Over the Counter,Otros,12003200.0,5.0,1750.0,1471.0
2022-08-01,1194802210,3640.0,6,Aseo,Hogar,Bolsas,12000273.0,1.0,1890.0,1588.0
2022-08-01,1213370669,4940.0,2,Bebidas,Bebidas Líquidas,Energizantes E Isotónicas,12000432.0,1.0,1490.0,1252.0
2022-08-01,1213370669,4940.0,2,Alimentos Dulces,Panadería,Tradición,12000355.0,1.0,3450.0,2899.0
2022-08-01,1228833536,3790.0,1,Aseo,Aseo Hogar,Detergentes,12004568.0,1.0,3790.0,3185.0
2022-08-01,1239516096,3550.0,1,Aseo,Aseo Hogar,Cuidado De Prendas,12000587.0,1.0,3550.0,2983.0
2022-08-01,1240029381,2490.0,1,Aseo,Aseo Personal,Tissue,12004364.0,1.0,2490.0,2092.0
2022-08-01,1229645816,15990.0,1,Mascotas,Mascotas,Arenas,12000556.0,1.0,15990.0,13437.0
2022-08-01,1226028064,26990.0,1,Commodities,Grasa,Aceites,12005059.0,1.0,26990.0,22681.0
2022-08-01,1216572350,18770.0,3,Bebidas,Lácteos,Leches Larga Vida,12000543.0,1.0,2990.0,2990.0
2022-08-01,1216572350,18770.0,3,Aseo,Aseo Personal,Tissue,12004365.0,1.0,12990.0,10916.0
2022-08-01,1216572350,18770.0,3,Aseo,Aseo Hogar,Lavaplatos,12000131.0,1.0,2790.0,2345.0
2022-08-01,1200193359,12990.0,1,Aseo,Aseo Personal,Tissue,12004365.0,1.0,12990.0,10916.0
2022-08-01,1229986884,5370.0,3,Bebidas,Bebidas Líquidas,Aguas,12000403.0,2.0,1780.0,1780.0
2022-08-01,1229986884,5370.0,3,Alimentos Sal,Pasabocas,Familiar,12001066.0,1.0,3590.0,3017.0
2022-08-01,1204790280,2490.0,1,Bebidas,Bebidas Líquidas,Gasificadas,12000378.0,1.0,2490.0,2092.0
2022-08-01,1216853594,2990.0,1,Bebidas,Bebidas Líquidas,Maltas,12000015.0,1.0,2990.0,2513.0
2022-08-01,1218086713,8910.0,5,Aseo,Hogar,Bolsas,12000273.0,1.0,1890.0,1588.0
2022-08-01,1218086713,8910.0,5,Aseo,Aseo Hogar,Esponjas,12000212.0,1.0,990.0,832.0
2022-08-01,1218086713,8910.0,5,Alimentos Dulces,Dulce,Esparcible,12001000.0,1.0,4990.0,4193.0
2022-08-01,1218086713,8910.0,5,Aseo,Aseo Hogar,Esponjas,12002108.0,1.0,900.0,756.0
2022-08-01,1218086713,8910.0,5,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,140.0,73.0
2022-08-01,1210972654,2750.0,1,Aseo,Hogar,Velas Y Fosforos,12000111.0,1.0,2750.0,2311.0
2022-08-01,1239720932,4240.0,2,Alimentos Dulces,Pasabocas,Frutos Deshidratados,12002025.0,1.0,2850.0,2850.0
2022-08-01,1239720932,4240.0,2,Alimentos Dulces,"Cereales, Harinas Y Premezclas",Avenas,12000457.0,1.0,1390.0,1324.0
2022-08-01,1215545818,9690.0,1,Commodities,Grasa,Aceites,12004740.0,1.0,9690.0,8143.0
2022-08-01,1236079594,15720.0,8,Alimentos Sal,Pasabocas,Familiar,12000391.0,3.0,10770.0,9050.0
2022-08-01,1236079594,15720.0,8,Aseo,Aseo Hogar,Esponjas,12000212.0,5.0,4950.0,4160.0
2022-08-01,1198438349,10920.0,4,Aseo,Aseo Hogar,Guantes,12000530.0,1.0,2990.0,2513.0
2022-08-01,1198438349,10920.0,4,Aseo,Aseo Hogar,Blanqueador,12000089.0,1.0,2950.0,2479.0
2022-08-01,1198438349,10920.0,4,Aseo,Aseo Personal,Tissue,12004364.0,2.0,4980.0,4185.0
2022-08-01,1200212212,4280.0,2,Bebidas,Lácteos,Leches Larga Vida,12000543.0,1.0,2990.0,2990.0
2022-08-01,1200212212,4280.0,2,Refrigerados,Arepas,Volumen,12000138.0,1.0,1290.0,1290.0
2022-08-01,1233806899,950.0,1,Bebidas,Bebidas Secas,Té,12003355.0,1.0,950.0,798.0
2022-08-01,1234983470,12990.0,1,Aseo,Aseo Personal,Tissue,12004365.0,1.0,12990.0,10916.0
2022-08-01,1206006789,17980.0,2,Mascotas,Mascotas,Arenas,12000556.0,1.0,15990.0,13437.0
2022-08-01,1206006789,17980.0,2,Alimentos Dulces,Dulce,Otros,12002533.0,1.0,1990.0,1672.0
2022-08-01,1223490679,15990.0,1,Mascotas,Mascotas,Arenas,12000556.0,1.0,15990.0,13437.0
2022-08-01,1197944348,20190.0,9,Bebidas,Lácteos,UHT Personal,12000253.0,1.0,950.0,798.0
2022-08-01,1197944348,20190.0,9,Commodities,Granos,Otros,12000043.0,2.0,4780.0,4780.0
2022-08-01,1197944348,20190.0,9,Aseo,Hogar,Desechables,12004179.0,2.0,2900.0,2437.0
2022-08-01,1197944348,20190.0,9,Bebidas,Bebidas Líquidas,Gasificadas,12002755.0,4.0,11560.0,9714.0
2022-08-01,1221481686,9230.0,3,Aseo,Aseo Hogar,Detergentes,12002044.0,1.0,4490.0,3773.0
2022-08-01,1221481686,9230.0,3,Aseo,Aseo Hogar,Detergentes,12004568.0,1.0,3790.0,3185.0
2022-08-01,1221481686,9230.0,3,Bebidas,Lácteos,UHT Personal,12000253.0,1.0,950.0,798.0
2022-08-01,1220728903,3990.0,1,Refrigerados,Carnes Frías,Salchichas,12000913.0,1.0,3990.0,3353.0
2022-08-01,1189166440,29170.0,5,Aseo,Aseo Personal,Tissue,12004365.0,1.0,12990.0,10916.0
2022-08-01,1189166440,29170.0,5,Aseo,Hogar,Tissue,12000176.0,1.0,3550.0,2983.0
2022-08-01,1189166440,29170.0,5,Aseo,Aseo Hogar,Pisos,12001057.0,1.0,8250.0,6933.0
2022-08-01,1189166440,29170.0,5,Mascotas,Mascotas,Indulgencia,12002655.0,2.0,4380.0,4171.0
2022-08-01,1229480334,21620.0,6,Alimentos Dulces,Galletería,Crackers,12003003.0,1.0,5450.0,4580.0
2022-08-01,1229480334,21620.0,6,Farmacia,Over the Counter,Otros,12003210.0,1.0,2890.0,2890.0
2022-08-01,1229480334,21620.0,6,Aseo,Aseo Hogar,Detergentes,12000178.0,1.0,4390.0,3689.0
2022-08-01,1229480334,21620.0,6,Aseo,Aseo Hogar,Blanqueador,12000089.0,1.0,2950.0,2479.0
2022-08-01,1229480334,21620.0,6,Aseo,Aseo Personal,Tissue,12004364.0,1.0,2490.0,2092.0
2022-08-01,1229480334,21620.0,6,Aseo,Aseo Personal,Tissue,12004366.0,1.0,3450.0,2899.0
2022-08-01,1212109254,26890.0,7,Alimentos Dulces,"Cereales, Harinas Y Premezclas",Cereal Infantiles,12002686.0,1.0,4990.0,4193.0
2022-08-01,1212109254,26890.0,7,Aseo,Aseo Hogar,Detergentes,12000178.0,1.0,4390.0,3689.0
2022-08-01,1212109254,26890.0,7,Bebidas,Bebidas Secas,Gelatina,12000252.0,1.0,2790.0,2345.0
2022-08-01,1212109254,26890.0,7,Aseo,Aseo Personal,Jabonería,12000221.0,1.0,5750.0,4832.0
2022-08-01,1212109254,26890.0,7,Bebidas,Lácteos,Leches Larga Vida,12000543.0,3.0,8970.0,8970.0
2022-08-01,1236652303,17950.0,6,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,140.0,73.0
2022-08-01,1236652303,17950.0,6,Aseo,Aseo Hogar,Utensilios,12000724.0,1.0,2590.0,2176.0
2022-08-01,1236652303,17950.0,6,Congelados,Comida Preparada,Ready To Cook,12002529.0,1.0,6790.0,5706.0
2022-08-01,1236652303,17950.0,6,Aseo,Aseo Hogar,Utensilios,12004155.0,1.0,2150.0,1807.0
2022-08-01,1236652303,17950.0,6,Aseo,Aseo Personal,Tissue,12004364.0,1.0,2490.0,2092.0
2022-08-01,1236652303,17950.0,6,Aseo,Aseo Hogar,Detergentes,12004568.0,1.0,3790.0,3185.0
