fecha,codigo_factura,mnt_total_a_pagar,cant_items,familia,categoria,subcategoria,codigo_producto,cantidad_vendida,venta_bruta_producto,venta_neta_producto
2022-02-01,913091174,19770.0,3,Mascotas,Mascotas,Alimento Seco,12000589.0,2.0,16780.0,15981.0
2022-02-01,913091174,19770.0,3,Congelados,Carne No Procesada,Pollo,12001690.0,1.0,2990.0,2990.0
2022-02-01,920305022,4980.0,2,Bebidas,Bebidas Líquidas,Gasificadas,12000378.0,1.0,1990.0,1672.0
2022-02-01,920305022,4980.0,2,Alimentos Sal,Pasabocas,Frutos Secos,12003610.0,1.0,2990.0,2513.0
2022-02-01,902829707,5090.0,1,Refrigerados,Carnes Frías,Salchichas,12000082.0,1.0,5090.0,4277.0
2022-02-01,909133060,6630.0,3,Alimentos Sal,Pasabocas,Familiar,12001066.0,1.0,2990.0,2513.0
2022-02-01,909133060,6630.0,3,Alimentos Sal,Pasabocas,Familiar,12003545.0,1.0,2450.0,2059.0
2022-02-01,909133060,6630.0,3,Bebidas,Bebidas Líquidas,Aguas Saborizadas,12002564.0,1.0,1190.0,1000.0
2022-02-01,918356782,3680.0,2,Alimentos Dulces,Galletería,Galletas Dulces,12003248.0,1.0,1690.0,1420.0
2022-02-01,918356782,3680.0,2,Alimentos Dulces,Dulce,Blandos,12000707.0,1.0,1990.0,1672.0
2022-02-01,913236285,3440.0,2,Alimentos Sal,Pasabocas,Familiar,12000564.0,1.0,2350.0,1975.0
2022-02-01,913236285,3440.0,2,Bebidas,Bebidas Líquidas,Gasificadas,12004551.0,1.0,1090.0,916.0
2022-02-01,921263661,11140.0,6,Aseo,Hogar,Tissue,12000175.0,1.0,1350.0,1134.0
2022-02-01,921263661,11140.0,6,Bebidas,Bebidas Líquidas,Aguas,12001022.0,1.0,3290.0,3290.0
2022-02-01,921263661,11140.0,6,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,130.0,65.0
2022-02-01,921263661,11140.0,6,Congelados,Comida Preparada,Ready To Cook,12000482.0,1.0,2990.0,2513.0
2022-02-01,921263661,11140.0,6,Aseo,Hogar,Tissue,12000300.0,2.0,3380.0,2840.0
2022-02-01,903163532,4980.0,3,Bebidas,Bebidas Líquidas,Gasificadas,12000376.0,1.0,1990.0,1672.0
2022-02-01,903163532,4980.0,3,Aseo,Hogar,Desechables,12004179.0,1.0,1300.0,1092.0
2022-02-01,903163532,4980.0,3,Aseo,Hogar,Tissue,12000300.0,1.0,1690.0,1420.0
2022-02-01,914105660,4990.0,1,Alimentos Sal,Panadería,Tajados,12003819.0,1.0,4990.0,4990.0
2022-02-01,901859266,3840.0,2,Alimentos Sal,Pasabocas,Familiar,12000564.0,1.0,2350.0,1975.0
2022-02-01,901859266,3840.0,2,Bebidas,Bebidas Líquidas,Energizantes E Isotónicas,12000432.0,1.0,1490.0,1252.0
2022-02-01,919821888,9610.0,4,Alimentos Sal,Pasabocas,Familiar,12003489.0,1.0,5390.0,4529.0
2022-02-01,919821888,9610.0,4,Alimentos Dulces,Dulce,Otros,12001150.0,1.0,1100.0,924.0
2022-02-01,919821888,9610.0,4,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,130.0,65.0
2022-02-01,919821888,9610.0,4,Alimentos Dulces,Dulce,Otros,12001945.0,1.0,2990.0,2513.0
2022-02-01,919958110,36450.0,11,Aseo,Aseo Hogar,Utensilios,12004155.0,4.0,7160.0,6017.0
2022-02-01,919958110,36450.0,11,Alimentos Dulces,Dulce,Otros,12001945.0,1.0,2990.0,2513.0
2022-02-01,919958110,36450.0,11,Alimentos Dulces,Enlatados Y Envasados,Frutas,12004172.0,3.0,16170.0,13588.0
2022-02-01,919958110,36450.0,11,Alimentos Sal,Salsas Y Aderezos,Básicas,12003736.0,1.0,1650.0,1387.0
2022-02-01,919958110,36450.0,11,Alimentos Sal,Salsas Y Aderezos,Pasta,12000451.0,1.0,5990.0,5034.0
2022-02-01,919958110,36450.0,11,Aseo,Aseo Hogar,Utensilios,12000724.0,1.0,2490.0,2092.0
2022-02-01,907021980,13980.0,2,Alimentos Sal,Pasabocas,Individuales,12000554.0,2.0,13980.0,11748.0
