fecha,codigo_factura,mnt_total_a_pagar,cant_items,familia,categoria,subcategoria,codigo_producto,cantidad_vendida,venta_bruta_producto,venta_neta_producto
2023-01-01,1540422307,15980.0,2,Aseo,Aseo Personal,Capilar,12000715.0,2.0,15980.0,13429.0
2023-01-01,1527349510,3990.0,1,Bebidas,Bebidas Secas,Cafés,12002417.0,1.0,3990.0,3800.0
2023-01-01,1494633163,26480.0,4,Aseo,Aseo Hogar,Utensilios,12004155.0,2.0,4500.0,3782.0
2023-01-01,1494633163,26480.0,4,Aseo,Aseo Hogar,Detergentes,12000246.0,1.0,4990.0,4193.0
2023-01-01,1494633163,26480.0,4,Commodities,Huevos,Gallina,12000344.0,1.0,16990.0,16990.0
2023-01-01,1537164008,14060.0,4,Aseo,Aseo Personal,Femenina,12002815.0,3.0,10770.0,10770.0
2023-01-01,1537164008,14060.0,4,Aseo,Aseo Personal,Femenina,12001739.0,1.0,3290.0,3290.0
2023-01-01,1495467958,2650.0,1,Aseo,Aseo Hogar,Cuidado De Prendas,12000129.0,1.0,2650.0,2227.0
2023-01-01,1526019082,7080.0,2,Bebidas,Bebidas Líquidas,Aguas,12001022.0,1.0,3390.0,3390.0
2023-01-01,1526019082,7080.0,2,Alimentos Sal,Salsas Y Aderezos,Básicas,12000266.0,1.0,3690.0,3101.0
2023-01-01,1545854686,59160.0,21,Alimentos Dulces,"Cereales, Harinas Y Premezclas",Premezclas,12003945.0,1.0,3990.0,3353.0
2023-01-01,1545854686,59160.0,21,Aseo,Aseo Personal,Oral,12000268.0,1.0,1550.0,1303.0
2023-01-01,1545854686,59160.0,21,Alimentos Sal,Salsas Y Aderezos,Básicas,12000305.0,1.0,2990.0,2513.0
2023-01-01,1545854686,59160.0,21,Aseo,Aseo Hogar,Lavaplatos,12000131.0,1.0,2790.0,2345.0
2023-01-01,1545854686,59160.0,21,Alimentos Sal,Condimentos,Caldos,12002007.0,1.0,1990.0,1672.0
2023-01-01,1545854686,59160.0,21,Aseo,Hogar,Tissue,12000175.0,1.0,1950.0,1639.0
2023-01-01,1545854686,59160.0,21,Aseo,Aseo Personal,Tissue,12004365.0,1.0,14990.0,12597.0
