fecha,codigo_factura,mnt_total_a_pagar,cant_items,familia,categoria,subcategoria,codigo_producto,cantidad_vendida,venta_bruta_producto,venta_neta_producto
2023-11-01,2221757776,13240.0,2,Commodities,Grasa,Aceites,12004358.0,1.0,7990.0,6714.0
2023-11-01,2221757776,13240.0,2,Refrigerados,Carnes Frías,Salchichas,12000913.0,1.0,5250.0,4412.0
2023-11-01,2201813959,3890.0,1,Alimentos Sal,Galletería,Crackers,12000283.0,1.0,3890.0,3269.0
2023-11-01,2212540581,7650.0,5,Bebidas,Bebidas Líquidas,Refrescos,12004550.0,1.0,2990.0,2513.0
2023-11-01,2212540581,7650.0,5,Bebidas,Bebidas Alcohólicas,Cervezas,12002513.0,1.0,1690.0,1214.0
2023-11-01,2212540581,7650.0,5,Alimentos Dulces,Dulce,Otros,12003321.0,3.0,2970.0,2496.0
2023-11-01,2230599915,14990.0,1,Aseo,Aseo Personal,Tissue,12004365.0,1.0,14990.0,12597.0
2023-11-01,2207250230,5740.0,2,Bebidas,Lácteos,Leches Larga Vida,12000245.0,1.0,3550.0,3550.0
2023-11-01,2207250230,5740.0,2,Aseo,Hogar,Tissue,12000175.0,1.0,2190.0,1840.0
2023-11-01,2235818975,11470.0,5,Aseo,Aseo Hogar,Lavaplatos,12000231.0,1.0,2690.0,2261.0
2023-11-01,2235818975,11470.0,5,Alimentos Dulces,"Cereales, Harinas Y Premezclas",Granolas,12000460.0,1.0,4550.0,3824.0
2023-11-01,2235818975,11470.0,5,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,190.0,109.0
2023-11-01,2235818975,11470.0,5,Refrigerados,Lácteos,Bebidas Lácteas,12000063.0,1.0,1090.0,916.0
2023-11-01,2235818975,11470.0,5,Aseo,Aseo Personal,Tissue,12004364.0,1.0,2950.0,2479.0
2023-11-01,2218214241,4650.0,1,Alimentos Dulces,Pasabocas,Frutos Secos,12000706.0,1.0,4650.0,3908.0
2023-11-01,2224715858,2690.0,1,Aseo,Aseo Hogar,Utensilios,12000724.0,1.0,2690.0,2261.0
2023-11-01,2194390104,40530.0,7,Bebidas,Bebidas Alcohólicas,Espirituosas,12002363.0,1.0,30990.0,16981.0
2023-11-01,2194390104,40530.0,7,Bebidas,Bebidas Alcohólicas,Cervezas,12004145.0,6.0,9540.0,7049.0
2023-11-01,2223250846,50010.0,11,Aseo,Aseo Hogar,Detergentes,12000178.0,2.0,9980.0,8387.0
2023-11-01,2223250846,50010.0,11,Aseo,Aseo Hogar,Baños,12000244.0,1.0,3350.0,2815.0
2023-11-01,2223250846,50010.0,11,Aseo,Aseo Hogar,Lavaplatos,12000231.0,1.0,2690.0,2261.0
2023-11-01,2223250846,50010.0,11,Alimentos Dulces,Dulce,Otros,12001945.0,1.0,4690.0,3941.0
2023-11-01,2223250846,50010.0,11,Aseo,Aseo Hogar,Pisos,12000678.0,1.0,2890.0,2429.0
2023-11-01,2223250846,50010.0,11,Alimentos Sal,Condimentos,Sales,12002874.0,1.0,2190.0,2190.0
2023-11-01,2223250846,50010.0,11,Aseo,Aseo Personal,Jabonería,12005477.0,1.0,4890.0,4109.0
2023-11-01,2223250846,50010.0,11,Aseo,Aseo Personal,Tissue,12004365.0,1.0,14990.0,12597.0
2023-11-01,2223250846,50010.0,11,Aseo,Hogar,Tissue,12000300.0,1.0,2150.0,1807.0
2023-11-01,2223250846,50010.0,11,Aseo,Hogar,Tissue,12000175.0,1.0,2190.0,1840.0
2023-11-01,2206618330,68010.0,11,Alimentos Dulces,Infantil,Snack,12000423.0,1.0,1990.0,1672.0
2023-11-01,2206618330,68010.0,11,Bebidas,Lácteos,UHT Personal,12000325.0,1.0,7990.0,6714.0
2023-11-01,2206618330,68010.0,11,Alimentos Dulces,Galletería,Infantil,12000019.0,1.0,4950.0,4160.0
2023-11-01,2206618330,68010.0,11,Commodities,Huevos,Gallina,12000344.0,1.0,15990.0,15990.0
2023-11-01,2206618330,68010.0,11,Empaques y Bazar,Otros,Empaques,12001743.0,1.0,1190.0,1000.0
2023-11-01,2206618330,68010.0,11,Alimentos Dulces,Dulce,Esparcible,12000285.0,1.0,8990.0,7555.0
2023-11-01,2206618330,68010.0,11,Alimentos Sal,Pasabocas,Frutos Secos,12004745.0,1.0,4190.0,3521.0
2023-11-01,2206618330,68010.0,11,Bebidas,Lácteos,Leches Larga Vida,12000245.0,1.0,3550.0,3550.0
2023-11-01,2206618330,68010.0,11,Bebidas,Bebidas Secas,Chocolate De Mesa,12000646.0,1.0,5990.0,5705.0
2023-11-01,2206618330,68010.0,11,Alimentos Dulces,Infantil,Nutrición Bebé,12002704.0,1.0,11190.0,9403.0
2023-11-01,2206618330,68010.0,11,Alimentos Dulces,Infantil,Snack,12000423.0,1.0,1990.0,1672.0
2023-11-01,2223741181,9540.0,6,Bebidas,Bebidas Alcohólicas,Cervezas,12004145.0,6.0,9540.0,7049.0
2023-11-01,2187634953,25760.0,5,Aseo,Aseo Hogar,Detergentes,12000246.0,1.0,4990.0,4193.0
2023-11-01,2187634953,25760.0,5,Aseo,Aseo Hogar,Pisos,12000090.0,1.0,2490.0,2092.0
2023-11-01,2187634953,25760.0,5,Aseo,Aseo Hogar,Pisos,12002510.0,1.0,2490.0,2092.0
2023-11-01,2187634953,25760.0,5,Bebidas,Bebidas Secas,Cafés,12000334.0,1.0,12990.0,12371.0
2023-11-01,2187634953,25760.0,5,Aseo,Aseo Hogar,Blanqueador,12000089.0,1.0,2800.0,2353.0
2023-11-01,2239344816,4490.0,1,Aseo,Aseo Personal,Desodorantes,12003226.0,1.0,4490.0,3773.0
2023-11-01,2225478058,11700.0,2,Bebidas,Bebidas Líquidas,Gasificadas,12000377.0,1.0,2750.0,2311.0
2023-11-01,2225478058,11700.0,2,Congelados,Carne No Procesada,Pollo,12001289.0,1.0,8950.0,8950.0
2023-11-01,2215893139,38950.0,5,Bebidas,Lácteos,Leches Larga Vida,12000543.0,4.0,13960.0,13960.0
2023-11-01,2215893139,38950.0,5,Commodities,Grasa,Aceites,12004359.0,1.0,24990.0,21000.0
2023-11-01,2215668701,12640.0,8,Aseo,Aseo Personal,Tissue,12004364.0,1.0,2950.0,2479.0
2023-11-01,2215668701,12640.0,8,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,190.0,109.0
2023-11-01,2215668701,12640.0,8,Aseo,Hogar,Bolsas,12000273.0,1.0,1890.0,1588.0
2023-11-01,2215668701,12640.0,8,Bebidas,Bebidas Líquidas,Té,12000385.0,1.0,1290.0,1084.0
2023-11-01,2215668701,12640.0,8,Aseo,Aseo Hogar,Pisos,12000347.0,1.0,2750.0,2311.0
2023-11-01,2215668701,12640.0,8,Aseo,Aseo Personal,Femenina,12000764.0,3.0,3570.0,3570.0
2023-11-01,2191946306,78920.0,8,Aseo,Aseo Personal,Tissue,12004365.0,1.0,14990.0,12597.0
2023-11-01,2191946306,78920.0,8,Alimentos Dulces,Dulce,Blandos,12002438.0,1.0,3990.0,3353.0
2023-11-01,2191946306,78920.0,8,Aseo,Aseo Personal,Femenina,12002481.0,1.0,8590.0,8590.0
2023-11-01,2191946306,78920.0,8,Alimentos Sal,Pasabocas,Individuales,12004663.0,1.0,3990.0,3800.0
2023-11-01,2191946306,78920.0,8,Aseo,Aseo Personal,Afeitado,12003311.0,1.0,11490.0,9655.0
2023-11-01,2191946306,78920.0,8,Bebidas,Bebidas Alcohólicas,Vinos,12000612.0,1.0,21990.0,16054.0
2023-11-01,2191946306,78920.0,8,Alimentos Sal,Pasabocas,Individuales,12000635.0,1.0,7990.0,7610.0
2023-11-01,2191946306,78920.0,8,Aseo,Aseo Personal,Jabonería,12004558.0,1.0,5890.0,4950.0
2023-11-01,2217954534,2750.0,1,Bebidas,Bebidas Líquidas,Gasificadas,12001305.0,1.0,2750.0,2311.0
2023-11-01,2233886319,35710.0,9,Bebidas,Bebidas Líquidas,Gasificadas,12004960.0,1.0,9490.0,7975.0
2023-11-01,2233886319,35710.0,9,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,190.0,109.0
2023-11-01,2233886319,35710.0,9,Aseo,Aseo Hogar,Jabones En Barra,12002044.0,1.0,4490.0,3773.0
2023-11-01,2233886319,35710.0,9,Alimentos Dulces,Salsas Y Aderezos,Dulces,12002085.0,3.0,7170.0,6025.0
2023-11-01,2233886319,35710.0,9,Alimentos Dulces,Pasabocas,Frutos Deshidratados,12002025.0,2.0,6380.0,6380.0
2023-11-01,2233886319,35710.0,9,Bebidas,Lácteos,UHT Personal,12000325.0,1.0,7990.0,6714.0
2023-11-01,2238880844,197950.0,38,Alimentos Dulces,Galletería,Saludable,12002511.0,1.0,4390.0,3689.0
2023-11-01,2238880844,197950.0,38,Aseo,Aseo Hogar,Blanqueador,12002695.0,3.0,16470.0,13840.0
2023-11-01,2238880844,197950.0,38,Refrigerados,Lácteos,Funcionales,12002515.0,3.0,11550.0,9706.0
2023-11-01,2238880844,197950.0,38,Alimentos Sal,Pasabocas,Familiar,12000391.0,1.0,4190.0,3521.0
2023-11-01,2238880844,197950.0,38,Aseo,Hogar,Tissue,12000177.0,3.0,5250.0,4412.0
2023-11-01,2238880844,197950.0,38,Refrigerados,Lácteos,Funcionales,12002509.0,1.0,4850.0,4076.0
2023-11-01,2238880844,197950.0,38,Refrigerados,Lácteos,Yogures Personal,12002191.0,1.0,7790.0,6546.0
2023-11-01,2238880844,197950.0,38,Aseo,Aseo Hogar,Paños,12000382.0,2.0,9980.0,8387.0
2023-11-01,2238880844,197950.0,38,Aseo,Aseo Personal,Tissue,12004367.0,1.0,19450.0,16345.0
2023-11-01,2238880844,197950.0,38,Alimentos Sal,Panadería,Tostados,12000692.0,3.0,6570.0,6570.0
2023-11-01,2238880844,197950.0,38,Aseo,Aseo Hogar,Detergentes,12000248.0,1.0,18900.0,15882.0
2023-11-01,2238880844,197950.0,38,Farmacia,Over the Counter,Suplementos,12005551.0,1.0,9990.0,8395.0
2023-11-01,2238880844,197950.0,38,Bebidas,Lácteos,Leches Larga Vida,12000245.0,6.0,21300.0,21300.0
2023-11-01,2238880844,197950.0,38,Aseo,Aseo Personal,Jabonería,12005477.0,2.0,9780.0,8218.0
2023-11-01,2238880844,197950.0,38,Aseo,Cuidado Personal,Facial,12002812.0,1.0,5350.0,4496.0
2023-11-01,2238880844,197950.0,38,Aseo,Hogar,Insecticidas,12002296.0,1.0,6990.0,6990.0
2023-11-01,2238880844,197950.0,38,Aseo,Hogar,Cuidado Del Aire,12000570.0,3.0,17970.0,15101.0
2023-11-01,2238880844,197950.0,38,Aseo,Aseo Personal,Afeitado,12000087.0,1.0,2990.0,2513.0
2023-11-01,2238880844,197950.0,38,Refrigerados,Lácteos,Funcionales,12003317.0,2.0,9700.0,8151.0
2023-11-01,2238880844,197950.0,38,Farmacia,Over the Counter,Suplementos,12002915.0,1.0,4490.0,4490.0
2023-11-01,2240758031,29990.0,1,Commodities,Grasa,Aceites,12000641.0,1.0,29990.0,25202.0
2023-11-01,2222868318,75800.0,13,Aseo,Aseo Hogar,Blanqueador,12000089.0,1.0,2800.0,2353.0
2023-11-01,2222868318,75800.0,13,Aseo,Aseo Personal,Oral,12002745.0,1.0,4990.0,4193.0
2023-11-01,2222868318,75800.0,13,Aseo,Aseo Hogar,Guantes,12000530.0,1.0,2990.0,2513.0
2023-11-01,2222868318,75800.0,13,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,190.0,109.0
2023-11-01,2222868318,75800.0,13,Refrigerados,Lácteos,Infantil,12001927.0,1.0,4990.0,4990.0
2023-11-01,2241676665,50390.0,8,Alimentos Dulces,Dulce,Blandos,12003391.0,1.0,2990.0,2513.0
2023-11-01,2241676665,50390.0,8,Aseo,Aseo Personal,Tissue,12004365.0,1.0,14990.0,12597.0
2023-11-01,2241676665,50390.0,8,Alimentos Sal,Salsas Y Aderezos,Básicas,12000266.0,1.0,3890.0,3269.0
2023-11-01,2241676665,50390.0,8,Refrigerados,Arepas,Valor Agregado,12000494.0,1.0,5890.0,5890.0
2023-11-01,2208983845,33060.0,6,Bebidas,Bebidas Secas,Cafés,12000184.0,1.0,12750.0,12143.0
2023-11-01,2208983845,33060.0,6,Aseo,Aseo Personal,Tissue,12004364.0,1.0,2950.0,2479.0
2023-11-01,2208983845,33060.0,6,Alimentos Dulces,Pasabocas,Familiar,12000694.0,1.0,2690.0,2261.0
2023-11-01,2208983845,33060.0,6,Commodities,Granos,Azúcar,12000250.0,3.0,14670.0,13971.0
2023-11-01,2241676665,50390.0,8,Congelados,Carne No Procesada,Pollo,12001690.0,1.0,3650.0,3650.0
2023-11-01,2241676665,50390.0,8,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,190.0,109.0
2023-11-01,2241676665,50390.0,8,Commodities,Huevos,Gallina,12000344.0,1.0,15990.0,15990.0
2023-11-01,2241676665,50390.0,8,Aseo,Aseo Hogar,Blanqueador,12000089.0,1.0,2800.0,2353.0
2023-11-01,2222871816,68900.0,10,Mascotas,Mascotas,Alimento Seco,12005336.0,1.0,10990.0,10467.0
2023-11-01,2222871816,68900.0,10,Alimentos Sal,Pasabocas,Familiar,12000391.0,1.0,4190.0,3521.0
2023-11-01,2222871816,68900.0,10,Congelados,Comida Preparada,Helados,12005455.0,1.0,12590.0,10580.0
2023-11-01,2222871816,68900.0,10,Bebidas,Bebidas Líquidas,Energizantes E Isotónicas,12000432.0,1.0,1590.0,1336.0
2023-11-01,2222871816,68900.0,10,Empaques y Bazar,Otros,Empaques,12000162.0,2.0,380.0,218.0
2023-11-01,2222871816,68900.0,10,Alimentos Dulces,Galletería,Waffers,12000134.0,1.0,7290.0,6126.0
2023-11-01,2222871816,68900.0,10,Aseo,Aseo Personal,Tissue,12004365.0,2.0,29980.0,25193.0
2023-11-01,2222871816,68900.0,10,Aseo,Aseo Hogar,Esponjas,12000213.0,1.0,1890.0,1588.0
2023-11-01,2240954848,13930.0,5,Farmacia,Over the Counter,Suplementos,12002915.0,2.0,8980.0,8980.0
2023-11-01,2240954848,13930.0,5,Alimentos Dulces,Comida Preparada,Helados,12005579.0,2.0,3900.0,3277.0
2023-11-01,2240954848,13930.0,5,Aseo,Aseo Hogar,Esponjas,12000212.0,1.0,1050.0,882.0
2023-11-01,2194450222,28150.0,7,Bebidas,Bebidas Alcohólicas,Cervezas,12004145.0,1.0,1590.0,1175.0
2023-11-01,2194450222,28150.0,7,Congelados,Carne No Procesada,Pollo,12001704.0,1.0,13790.0,11588.0
2023-11-01,2194450222,28150.0,7,Alimentos Sal,Pasabocas,Individuales,12004663.0,1.0,4390.0,4181.0
2023-11-01,2194450222,28150.0,7,Alimentos Dulces,Dulce,Blandos,12000707.0,1.0,2990.0,2513.0
2023-11-01,2194450222,28150.0,7,Bebidas,Bebidas Líquidas,Gasificadas,12004175.0,1.0,1890.0,1890.0
2023-11-01,2194450222,28150.0,7,Refrigerados,Lácteos,Quesos Rte,12001683.0,2.0,3500.0,3500.0
2023-11-01,2223143929,4990.0,1,Alimentos Dulces,Panadería,Porcionado,12000181.0,1.0,4990.0,4193.0
2023-11-01,2230752753,5600.0,2,Alimentos Sal,Panadería,Tostados,12000299.0,1.0,2850.0,2850.0
2023-11-01,2230752753,5600.0,2,Aseo,Aseo Personal,Femenina,12000763.0,1.0,2750.0,2750.0
2023-11-01,2237912091,16910.0,6,Commodities,Granos,Azúcar,12000249.0,1.0,4790.0,4562.0
2023-11-01,2237912091,16910.0,6,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,190.0,109.0
2023-11-01,2237912091,16910.0,6,Commodities,Granos,Otros,12000042.0,1.0,2990.0,2990.0
2023-11-01,2237912091,16910.0,6,Commodities,Granos,Arroz,12002073.0,1.0,2000.0,2000.0
2023-11-01,2237912091,16910.0,6,Aseo,Aseo Personal,Tissue,12004364.0,1.0,2950.0,2479.0
2023-11-01,2237912091,16910.0,6,Bebidas,Bebidas Secas,Cafés,12002417.0,1.0,3990.0,3800.0
2023-11-01,2212078695,4990.0,1,Aseo,Aseo Hogar,Detergentes,12000178.0,1.0,4990.0,4193.0
2023-11-01,2185129876,15130.0,3,Aseo,Aseo Personal,Jabonería,12004558.0,1.0,5890.0,4950.0
2023-11-01,2185129876,15130.0,3,Alimentos Dulces,Lácteos,Dulces,12000929.0,1.0,4490.0,4490.0
2023-11-01,2185129876,15130.0,3,Bebidas,Panela,En Bloque,12000121.0,1.0,4750.0,4750.0
2023-11-01,2250332701,29990.0,1,Commodities,Grasa,Aceites,12000641.0,1.0,29990.0,25202.0
2023-11-01,2191406558,12690.0,5,Bebidas,Bebidas Líquidas,Gasificadas,12000376.0,4.0,11000.0,9244.0
2023-11-01,2191406558,12690.0,5,Aseo,Hogar,Desechables,12004179.0,1.0,1690.0,1420.0
2023-11-01,2233095910,4980.0,2,Alimentos Sal,Condimentos,Caldos,12001009.0,1.0,1990.0,1672.0
2023-11-01,2233095910,4980.0,2,Alimentos Sal,Pasabocas,Familiar,12000563.0,1.0,2990.0,2513.0
2023-11-01,2203005776,6480.0,2,Bebidas,Bebidas Líquidas,Aguas Saborizadas,12000730.0,1.0,3490.0,2933.0
2023-11-01,2203005776,6480.0,2,Alimentos Dulces,Dulce,Otros,12002533.0,1.0,2990.0,2513.0
2023-11-01,2202855072,8980.0,2,Aseo,Aseo Hogar,Lavaplatos,12000231.0,1.0,2690.0,2261.0
2023-11-01,2202855072,8980.0,2,Mascotas,Mascotas,Alimento Seco,12001128.0,1.0,6290.0,5990.0
2023-11-01,2232083319,6790.0,1,Refrigerados,Carnes Frías,Otros,12002503.0,1.0,6790.0,6467.0
2023-11-01,2227966673,2800.0,1,Aseo,Aseo Hogar,Cuidado De Prendas,12000129.0,1.0,2800.0,2353.0
2023-11-01,2192004695,7950.0,5,Alimentos Dulces,Dulce,Otros,12002212.0,5.0,7950.0,6681.0
2023-11-01,2204944103,4650.0,1,Alimentos Dulces,Pasabocas,Frutos Secos,12000706.0,1.0,4650.0,3908.0
2023-11-01,2210175158,9540.0,6,Bebidas,Bebidas Alcohólicas,Cervezas,12004145.0,6.0,9540.0,7049.0
2023-11-01,2216272216,5490.0,1,Alimentos Dulces,Dulce,Otros,12003182.0,1.0,5490.0,4613.0
2023-11-01,2250148925,80150.0,13,Commodities,Huevos,Gallina,12000344.0,1.0,15990.0,15990.0
2023-11-01,2250148925,80150.0,13,Aseo,Aseo Personal,Afeitado,12000088.0,1.0,2990.0,2513.0
2023-11-01,2250148925,80150.0,13,Aseo,Aseo Hogar,Guantes,12000218.0,1.0,2490.0,2092.0
2023-11-01,2221009164,17540.0,2,Aseo,Aseo Hogar,Detergentes,12002741.0,1.0,12990.0,10916.0
2023-11-01,2221009164,17540.0,2,Alimentos Dulces,"Cereales, Harinas Y Premezclas",Granolas,12001666.0,1.0,4550.0,3824.0
2023-11-01,2250148925,80150.0,13,Aseo,Aseo Personal,Capilar,12000788.0,1.0,6990.0,5874.0
2023-11-01,2250148925,80150.0,13,Alimentos Sal,Salsas Y Aderezos,Especializadas,12005711.0,1.0,3450.0,2899.0
2023-11-01,2250148925,80150.0,13,Aseo,Hogar,Cuidado Del Aire,12005724.0,1.0,5990.0,5990.0
2023-11-01,2250148925,80150.0,13,Aseo,Aseo Personal,Femenina,12003457.0,1.0,3750.0,3151.0
2023-11-01,2250148925,80150.0,13,Aseo,Aseo Personal,Jabonería,12005520.0,1.0,4890.0,4109.0
2023-11-01,2250148925,80150.0,13,Aseo,Aseo Personal,Jabonería,12000163.0,1.0,3390.0,2849.0
2023-11-01,2250148925,80150.0,13,Aseo,Aseo Personal,Botiquín,12001225.0,1.0,3250.0,2731.0
2023-11-01,2250148925,80150.0,13,Aseo,Cuidado Personal,Cremas Corporales,12002682.0,1.0,1990.0,1672.0
2023-11-01,2250148925,80150.0,13,Aseo,Cuidado Personal,Facial,12002949.0,1.0,9990.0,8395.0
2023-11-01,2250148925,80150.0,13,Aseo,Aseo Personal,Tissue,12004365.0,1.0,14990.0,12597.0
2023-11-01,2230215833,33990.0,1,Mascotas,Mascotas,Alimento Seco,12001971.0,1.0,33990.0,32371.0
2023-11-01,2190612604,4280.0,2,Alimentos Dulces,Panadería,Porcionado,12000073.0,1.0,1890.0,1588.0
2023-11-01,2190612604,4280.0,2,Bebidas,Bebidas Líquidas,Aguas Saborizadas,12003418.0,1.0,2390.0,2008.0
2023-11-01,2231109676,2950.0,1,Aseo,Aseo Personal,Tissue,12004364.0,1.0,2950.0,2479.0
2023-11-01,2225856073,7790.0,2,Aseo,Aseo Hogar,Cuidado De Prendas,12000129.0,1.0,2800.0,2353.0
2023-11-01,2225856073,7790.0,2,Aseo,Aseo Hogar,Detergentes,12000178.0,1.0,4990.0,4193.0
2023-11-01,2235891219,13040.0,5,Aseo,Aseo Hogar,Pisos,12002510.0,1.0,2490.0,2092.0
2023-11-01,2235891219,13040.0,5,Aseo,Aseo Hogar,Limpiadores Y Desinfectantes,12000130.0,1.0,2150.0,1807.0
2023-11-01,2235891219,13040.0,5,Aseo,Aseo Hogar,Cuidado De Prendas,12000129.0,1.0,2800.0,2353.0
2023-11-01,2235891219,13040.0,5,Aseo,Aseo Hogar,Blanqueador,12000089.0,2.0,5600.0,4706.0
2023-11-01,2223819248,35320.0,4,Alimentos Sal,Panadería,Tajados,12000800.0,1.0,4990.0,4990.0
2023-11-01,2223819248,35320.0,4,Aseo,Aseo Personal,Tissue,12004367.0,1.0,19450.0,16345.0
2023-11-01,2223819248,35320.0,4,Refrigerados,Lácteos,Quesos Varios,12000523.0,1.0,7390.0,6210.0
2023-11-01,2223819248,35320.0,4,Bebidas,Lácteos,Leches Larga Vida,12000543.0,1.0,3490.0,3490.0
2023-11-01,2198202382,6500.0,1,,Comisiones,Recargas,9000003.0,1.0,6500.0,6500.0
2023-11-01,2192354918,26060.0,6,Refrigerados,Carnes Frías,Chorizos,12000081.0,1.0,3850.0,3235.0
2023-11-01,2192354918,26060.0,6,Bebidas,Bebidas Líquidas,Gasificadas,12002755.0,1.0,3790.0,3185.0
2023-11-01,2192354918,26060.0,6,Aseo,Hogar,Tissue,12000177.0,1.0,1750.0,1471.0
2023-11-01,2192354918,26060.0,6,Refrigerados,Carnes Frías,Chorizos,12000298.0,2.0,10980.0,9227.0
2023-11-01,2192354918,26060.0,6,Alimentos Dulces,Galletería,Infantil,12004310.0,1.0,5690.0,4782.0
2023-11-01,2242333347,2740.0,2,Bebidas,Bebidas Líquidas,Aguas,12000489.0,1.0,890.0,890.0
2023-11-01,2242333347,2740.0,2,Alimentos Sal,Pasabocas,Familiar,12003745.0,1.0,1850.0,1762.0
2023-11-01,2225879943,21550.0,7,Aseo,Hogar,Cuidado Del Aire,12000570.0,1.0,5990.0,5034.0
2023-11-01,2225879943,21550.0,7,Alimentos Sal,Condimentos,Especias y Hierbas,12003290.0,1.0,1750.0,1471.0
2023-11-01,2225879943,21550.0,7,Aseo,Hogar,Velas Y Fosforos,12000111.0,3.0,8670.0,7286.0
2023-11-01,2225879943,21550.0,7,Aseo,Aseo Hogar,Lavaplatos,12000231.0,1.0,2690.0,2261.0
2023-11-01,2225879943,21550.0,7,Alimentos Sal,Condimentos,Especias y Hierbas,12003388.0,1.0,2450.0,2059.0
2023-11-01,2223984272,8990.0,1,Alimentos Dulces,Salsas Y Aderezos,Dulces,12000826.0,1.0,8990.0,8990.0
