fecha,codigo_factura,mnt_total_a_pagar,cant_items,familia,categoria,subcategoria,codigo_producto,cantidad_vendida,venta_bruta_producto,venta_neta_producto
2021-08-01,642193997,33790.0,7,Aseo,Aseo Hogar,Detergentes,12000178.0,2.0,5380.0,5380.0
2021-08-01,642193997,33790.0,7,Alimentos Dulces,Dulce,Otros,12003182.0,1.0,4290.0,3605.0
2021-08-01,642193997,33790.0,7,Aseo,Aseo Hogar,Lavaplatos,12000231.0,1.0,1750.0,1750.0
2021-08-01,642193997,33790.0,7,Aseo,Aseo Personal,Tissue,12004088.0,1.0,10990.0,9235.0
2021-08-01,642193997,33790.0,7,Aseo,Aseo Personal,Capilar,12003458.0,1.0,9590.0,8059.0
2021-08-01,642193997,33790.0,7,Aseo,Aseo Hogar,Pisos,12000090.0,1.0,1790.0,1790.0
2021-08-01,642306707,112290.0,38,Aseo,Hogar,Tissue,12000177.0,4.0,4760.0,4000.0
2021-08-01,642306707,112290.0,38,Aseo,Aseo Hogar,Limpiadores Y Desinfectantes,12003534.0,1.0,1650.0,1650.0
2021-08-01,642306707,112290.0,38,Aseo,Infantil,Botiquín,12000964.0,1.0,1790.0,1790.0
2021-08-01,642306707,112290.0,38,Aseo,Aseo Hogar,Cuidado De Prendas,12000588.0,1.0,2990.0,2513.0
2021-08-01,642306707,112290.0,38,Refrigerados,Lácteos,Bebidas Lácteas,12000152.0,1.0,2790.0,2345.0
2021-08-01,642306707,112290.0,38,Bebidas,Lácteos,UHT Personal,12000325.0,2.0,9580.0,8050.0
2021-08-01,642306707,112290.0,38,Aseo,Aseo Hogar,Detergentes,12000178.0,1.0,2690.0,2690.0
2021-08-01,642306707,112290.0,38,Aseo,Aseo Hogar,Cuidado De Prendas,12000587.0,1.0,2990.0,2513.0
2021-08-01,642306707,112290.0,38,Aseo,Aseo Personal,Oral,12000976.0,2.0,8580.0,7210.0
2021-08-01,642306707,112290.0,38,Alimentos Sal,Salsas Y Aderezos,Básicas,12000266.0,1.0,2490.0,2092.0
2021-08-01,642306707,112290.0,38,Aseo,Aseo Hogar,Detergentes,12000246.0,4.0,14360.0,14360.0
2021-08-01,642306707,112290.0,38,Commodities,Grasa,Aceites Finos,12000330.0,1.0,10990.0,9235.0
2021-08-01,642306707,112290.0,38,Alimentos Dulces,Panadería,Compartir,12004018.0,4.0,7960.0,6689.0
2021-08-01,642306707,112290.0,38,Refrigerados,Carnes Frías,Salchichas,12000082.0,1.0,4790.0,4025.0
2021-08-01,642306707,112290.0,38,Alimentos Dulces,Dulce,Blandos,12000707.0,2.0,3780.0,3176.0
2021-08-01,642306707,112290.0,38,Refrigerados,Carnes Frías,Salchichas,12000913.0,2.0,6980.0,5866.0
2021-08-01,642306707,112290.0,38,Aseo,Aseo Hogar,Detergentes,12000310.0,1.0,6690.0,6690.0
2021-08-01,642306707,112290.0,38,Refrigerados,Lácteos,Bebidas Lácteas,12000155.0,1.0,2790.0,2345.0
2021-08-01,642306707,112290.0,38,Commodities,Granos,Fríjoles,12000308.0,2.0,6380.0,6380.0
2021-08-01,642306707,112290.0,38,Aseo,Aseo Hogar,Esponjas,12000212.0,3.0,2070.0,2070.0
2021-08-01,642306707,112290.0,38,Refrigerados,Lácteos,Bebidas Lácteas,12000146.0,1.0,2790.0,2345.0
2021-08-01,642306707,112290.0,38,Alimentos Sal,Salsas Y Aderezos,Básicas,12000305.0,1.0,2400.0,2017.0
2021-08-01,642966550,9140.0,6,Aseo,Aseo Hogar,Esponjas,12000212.0,1.0,690.0,690.0
2021-08-01,642966550,9140.0,6,Aseo,Aseo Hogar,Blanqueador,12000089.0,1.0,2150.0,2150.0
2021-08-01,642966550,9140.0,6,Aseo,Aseo Hogar,Pisos,12000090.0,1.0,1790.0,1790.0
2021-08-01,642966550,9140.0,6,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,120.0,58.0
2021-08-01,642966550,9140.0,6,Aseo,Aseo Hogar,Guantes,12000530.0,1.0,2290.0,2290.0
2021-08-01,642966550,9140.0,6,Bebidas,Bebidas Líquidas,Refrescos,12000424.0,1.0,2100.0,1765.0
2021-08-01,643133592,17700.0,8,Aseo,Hogar,Tissue,12000177.0,1.0,1190.0,1000.0
2021-08-01,643133592,17700.0,8,Aseo,Aseo Personal,Jabonería,12000163.0,1.0,2550.0,2550.0
2021-08-01,643133592,17700.0,8,Alimentos Sal,Galletería,Crackers,12003986.0,1.0,3990.0,3353.0
2021-08-01,643133592,17700.0,8,Aseo,Aseo Hogar,Blanqueador,12000089.0,2.0,4300.0,4300.0
2021-08-01,643133592,17700.0,8,Aseo,Aseo Hogar,Pisos,12000090.0,2.0,3580.0,3580.0
2021-08-01,643133592,17700.0,8,Bebidas,Lácteos,Leches Larga Vida,12000543.0,1.0,2090.0,2090.0
2021-08-01,643034514,7360.0,4,Refrigerados,Carnes Frías,Chorizos,12000081.0,1.0,2890.0,2429.0
2021-08-01,643034514,7360.0,4,Perecederos,Fruver,Frutas,12000110.0,1.0,1590.0,1590.0
2021-08-01,643034514,7360.0,4,Alimentos Sal,Panadería,Tajados,12000050.0,1.0,1990.0,1990.0
2021-08-01,643034514,7360.0,4,Alimentos Sal,"Cereales, Harinas Y Premezclas",Pasta Larga,12000066.0,1.0,890.0,848.0
2021-08-01,643141747,53390.0,16,Refrigerados,Lácteos,Quesos Hilados,12000084.0,1.0,6090.0,6090.0
2021-08-01,643141747,53390.0,16,Alimentos Sal,Salsas Y Aderezos,Básicas,12000266.0,1.0,2490.0,2092.0
2021-08-01,643141747,53390.0,16,Alimentos Dulces,Panadería,Porcionado,12000821.0,1.0,2850.0,2395.0
2021-08-01,643141747,53390.0,16,Alimentos Sal,Salsas Y Aderezos,Básicas,12000305.0,1.0,2400.0,2017.0
2021-08-01,643141747,53390.0,16,Aseo,Aseo Hogar,Pisos,12000090.0,1.0,1790.0,1790.0
2021-08-01,643141747,53390.0,16,Aseo,Infantil,Pañitos,12000222.0,1.0,3690.0,3690.0
2021-08-01,643141747,53390.0,16,Alimentos Sal,Condimentos,Mezclas y adobos,12002917.0,1.0,950.0,798.0
2021-08-01,643141747,53390.0,16,Alimentos Sal,Panadería,Tajados,12000050.0,1.0,1990.0,1990.0
2021-08-01,643141747,53390.0,16,Alimentos Dulces,Panadería,Compartir,12004018.0,1.0,1990.0,1672.0
2021-08-01,643141747,53390.0,16,Refrigerados,Carnes Frías,Salchichas,12000082.0,2.0,9580.0,8050.0
2021-08-01,643141747,53390.0,16,Aseo,Aseo Personal,Tissue,12004087.0,1.0,1990.0,1672.0
2021-08-01,643141747,53390.0,16,Alimentos Sal,Galletería,Crackers,12002839.0,1.0,3490.0,2933.0
2021-08-01,643141747,53390.0,16,Aseo,Aseo Personal,Jabonería,12000219.0,1.0,3650.0,3650.0
2021-08-01,643141747,53390.0,16,Aseo,Aseo Personal,Capilar,12003458.0,1.0,9590.0,8059.0
2021-08-01,643141747,53390.0,16,Aseo,Aseo Hogar,Esponjas,12000241.0,1.0,850.0,850.0
2021-08-01,642637613,30310.0,10,Refrigerados,Comida Preparada,Ready To Eat,12000395.0,3.0,8370.0,7034.0
2021-08-01,642637613,30310.0,10,Alimentos Sal,Pasabocas,Familiar,12003356.0,1.0,3890.0,3269.0
