fecha,codigo_factura,mnt_total_a_pagar,cant_items,familia,categoria,subcategoria,codigo_producto,cantidad_vendida,venta_bruta_producto,venta_neta_producto
2022-01-01,839110278,4290.0,1,Alimentos Dulces,Dulce,Otros,12001684.0,1.0,4290.0,3605.0
2022-01-01,861076722,15040.0,6,Empaques y Bazar,Extraordinarios,Escolar,12004144.0,1.0,1690.0,1420.0
2022-01-01,861076722,15040.0,6,Alimentos Sal,Pasabocas,Familiar,12000564.0,1.0,2350.0,1975.0
2022-01-01,861076722,15040.0,6,Congelados,Comida Preparada,Ready To Cook,12000482.0,4.0,11000.0,9244.0
2022-01-01,835677883,4140.0,2,Aseo,Aseo Personal,Tissue,12004087.0,1.0,2150.0,1807.0
2022-01-01,835677883,4140.0,2,Bebidas,Bebidas Líquidas,Gasificadas,12000377.0,1.0,1990.0,1672.0
2022-01-01,866763565,130.0,1,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,130.0,65.0
2022-01-01,858465108,8370.0,3,Alimentos Sal,Pasabocas,Familiar,12001066.0,1.0,2690.0,2261.0
2022-01-01,858465108,8370.0,3,Alimentos Sal,Pasabocas,Familiar,12000391.0,1.0,2690.0,2261.0
2022-01-01,858465108,8370.0,3,Aseo,Aseo Personal,Botiquín,12001225.0,1.0,2990.0,2513.0
2022-01-01,844535091,1900.0,2,Refrigerados,Arepas,Volumen,12000136.0,2.0,1900.0,1900.0
2022-01-01,872579428,25630.0,7,Aseo,Infantil,Botiquín,12000964.0,1.0,2190.0,1840.0
2022-01-01,872579428,25630.0,7,Aseo,Aseo Hogar,Limpiadores Y Desinfectantes,12003534.0,1.0,1990.0,1672.0
2022-01-01,872579428,25630.0,7,Aseo,Aseo Personal,Jabonería,12003223.0,1.0,3090.0,2597.0
2022-01-01,872579428,25630.0,7,Congelados,Comida Preparada,Helados,12003451.0,1.0,10990.0,9235.0
2022-01-01,872579428,25630.0,7,Alimentos Dulces,Dulce,Otros,12003917.0,1.0,1290.0,1084.0
2022-01-01,872579428,25630.0,7,Farmacia,Over the Counter,Otros,12003210.0,1.0,2990.0,2513.0
2022-01-01,872579428,25630.0,7,Aseo,Aseo Personal,Jabonería,12000163.0,1.0,3090.0,2597.0
2022-01-01,853537276,2890.0,1,Commodities,Granos,Otros,12000042.0,1.0,2890.0,2890.0
2022-01-01,839029171,13540.0,2,Aseo,Hogar,Bolsas,12000273.0,1.0,1890.0,1588.0
2022-01-01,839029171,13540.0,2,Aseo,Aseo Personal,Tissue,12004365.0,1.0,11650.0,9790.0
2022-01-01,871425303,18070.0,7,Refrigerados,Lácteos,Esparcibles,12000341.0,2.0,5180.0,5180.0
2022-01-01,871425303,18070.0,7,Refrigerados,Grasa,Margarinas Cocina,12000478.0,1.0,1190.0,1000.0
2022-01-01,871425303,18070.0,7,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,130.0,65.0
2022-01-01,871425303,18070.0,7,Bebidas,Lácteos,Leches En Polvo,12002823.0,1.0,5990.0,5990.0
2022-01-01,871425303,18070.0,7,Alimentos Sal,"Cereales, Harinas Y Premezclas",Pasta Corta,12000287.0,2.0,5580.0,5314.0
2022-01-01,832691284,25710.0,10,Alimentos Dulces,Dulce,Otros,12003182.0,1.0,4290.0,3605.0
2022-01-01,832691284,25710.0,10,Alimentos Dulces,Dulce,Chupetas,12003348.0,1.0,1990.0,1672.0
2022-01-01,832691284,25710.0,10,Alimentos Dulces,Dulce,Blandos,12002435.0,1.0,2990.0,2513.0
2022-01-01,832691284,25710.0,10,Refrigerados,Lácteos,Funcionales,12003317.0,1.0,3690.0,3101.0
2022-01-01,832691284,25710.0,10,Bebidas,Bebidas Líquidas,Aguas Saborizadas,12002564.0,1.0,990.0,832.0
2022-01-01,832691284,25710.0,10,Bebidas,Bebidas Líquidas,Aguas Saborizadas,12003417.0,1.0,990.0,832.0
2022-01-01,832691284,25710.0,10,Bebidas,Bebidas Líquidas,Refrescos,12000297.0,1.0,3790.0,3185.0
2022-01-01,832691284,25710.0,10,Alimentos Sal,Pasabocas,Individuales,12000350.0,1.0,3100.0,2605.0
2022-01-01,832691284,25710.0,10,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,130.0,65.0
2022-01-01,832691284,25710.0,10,Alimentos Sal,Pasabocas,Familiar,12004171.0,1.0,3750.0,3151.0
2022-01-01,867049914,8940.0,2,Congelados,Comida Preparada,Ready To Cook,12002529.0,1.0,6790.0,5706.0
2022-01-01,867049914,8940.0,2,Aseo,Aseo Hogar,Guantes,12000218.0,1.0,2150.0,1807.0
2022-01-01,870196975,40470.0,9,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,130.0,65.0
2022-01-01,870196975,40470.0,9,Aseo,Aseo Personal,Oral,12000267.0,1.0,1390.0,1168.0
2022-01-01,870196975,40470.0,9,Aseo,Aseo Hogar,Detergentes,12000178.0,3.0,12870.0,10815.0
2022-01-01,870196975,40470.0,9,Aseo,Aseo Personal,Tissue,12004365.0,2.0,23300.0,19580.0
2022-01-01,870196975,40470.0,9,Aseo,Aseo Personal,Oral,12000269.0,2.0,2780.0,2336.0
2022-01-01,852518951,10670.0,3,Aseo,Aseo Personal,Jabonería,12000163.0,1.0,3090.0,2597.0
2022-01-01,852518951,10670.0,3,Bebidas,Lácteos,Leches Larga Vida,12000245.0,1.0,2690.0,2690.0
2022-01-01,852518951,10670.0,3,Refrigerados,Carnes Frías,Salchichas,12000082.0,1.0,4890.0,4109.0
2022-01-01,865409898,6780.0,4,Refrigerados,Lácteos,Yogures Personal,12002018.0,2.0,2300.0,1933.0
2022-01-01,865409898,6780.0,4,Alimentos Dulces,Dulce,Otros,12002189.0,1.0,1790.0,1504.0
2022-01-01,865409898,6780.0,4,Alimentos Sal,Pasabocas,Familiar,12001066.0,1.0,2690.0,2261.0
2022-01-01,872795709,18750.0,7,Alimentos Dulces,Dulce,Blandos,12000707.0,1.0,1990.0,1672.0
2022-01-01,872795709,18750.0,7,Empaques y Bazar,Otros,Empaques,12000162.0,1.0,130.0,65.0
2022-01-01,872795709,18750.0,7,Refrigerados,Carnes Frías,Chorizos,12000272.0,1.0,7990.0,6714.0
2022-01-01,872795709,18750.0,7,Refrigerados,Lácteos,Yogures Personal,12003557.0,3.0,4050.0,3403.0
2022-01-01,872795709,18750.0,7,Alimentos Sal,Galletería,Crackers,12003986.0,1.0,4590.0,3857.0
2022-01-01,857501164,82420.0,29,Empaques y Bazar,Otros,Empaques,12001743.0,1.0,1190.0,1000.0
2022-01-01,857501164,82420.0,29,Alimentos Dulces,Panadería,Porcionado,12000180.0,1.0,2290.0,1924.0
2022-01-01,857501164,82420.0,29,Refrigerados,Lácteos,Infantil,12004163.0,1.0,2490.0,2490.0
2022-01-01,857501164,82420.0,29,Commodities,Huevos,Gallina,12000291.0,1.0,5990.0,5990.0
2022-01-01,857501164,82420.0,29,Alimentos Dulces,Dulce,Blandos,12003391.0,1.0,1990.0,1672.0
2022-01-01,857501164,82420.0,29,Aseo,Aseo Personal,Afeitado,12000088.0,1.0,2800.0,2353.0
2022-01-01,857501164,82420.0,29,Alimentos Sal,Pasabocas,Individuales,12002701.0,1.0,5990.0,5034.0
2022-01-01,857501164,82420.0,29,Farmacia,Over the Counter,Otros,12003210.0,1.0,2990.0,2513.0
2022-01-01,857501164,82420.0,29,Refrigerados,Lácteos,Esparcibles,12000341.0,1.0,2590.0,2590.0
2022-01-01,857501164,82420.0,29,Alimentos Sal,Panadería,Hojaldre,12000046.0,1.0,2890.0,2890.0
2022-01-01,857501164,82420.0,29,Aseo,Aseo Hogar,Lavaplatos,12000131.0,1.0,2390.0,2008.0
